Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
118,10300978,"แปรงล้างเครื่องมือ,7x100x300mmมีท่อ",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
119,10300980,"แปรงล้างเครื่องมือ,3.5x7x100x300mmมีท่อ",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
120,10300981,"แปรงล้างเครื่องมือ,1.5x5x100x300mmมีท่อ",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
121,10300982,HBแปรงล้างเครื่องมือด่ามดำขนไนล่อน,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
122,10300983,HBแปรงล้างเครื่องมือด้ามดำขนสแตนเลส,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
123,10300984,แปรงล้างเครื่องมือ 12.5x100x250mm. ไม่มีท่อ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
124,10300985,แปรงล้างเครื่องมือ1.8x100x300mmไม่มีท่อ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
125,10300986,แปรงล้างเครื่องมือ2.5x4.5x100x300mmมีท่อ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
126,10300987,แปรงล้างเครื่องมือ1.7x50x100mmมีท่อ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
127,10300988,แปรงล้างเครื่องมือ3.5x4.2x100x300mmมีท่อ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
128,10300989,แก้วน้ำสแตนเลส กว้าง 6.5xสูง 7.0 cm,1030,MAT_BUY,EA,,,5,0,0,5,5,,,0,0,0,
129,10300994,กระดาษเช็ดมือชนิดแผ่น 1 ชั้น (1BOX=16PACK),1030,MAT_BUY,PAC,,,16,0,0,16,16,,สต(37)/ซ(20),128,0,128,
130,10301004,ชุดผู้ป่วย Size:S พิมพ์ชื่อ รพ.,1030,MAT_BUY,SET,,,0,0,0,0,0,,,0,0,0,
131,10301005,ชุดผู้ป่วย Size:M พิมพ์ชื่อ รพ.,1030,MAT_BUY,SET,,,0,0,0,0,0,,,0,0,0,
132,10301006,ชุดผู้ป่วย Size:L พิมพ์ชื่อ รพ.,1030,MAT_BUY,SET,,,0,0,0,0,0,,,0,0,0,
133,10301007,ชุดผู้ป่วย Size:XL พิมพ์ชื่อ รพ.,1030,MAT_BUY,SET,,,0,0,0,0,0,,,0,0,0,
